epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,49696.7,0.97488,0.86216,1.32427,0.90041,0.76072,0.84538,0.60965,0.99106,0.60589,1.21891,0.000473467,0.000473467,0.000473467
135,50067.3,0.97499,0.86033,1.31737,0.9017,0.7602,0.84567,0.60959,0.99055,0.60534,1.2185,0.000469374,0.000469374,0.000469374
136,50437.8,0.97041,0.85923,1.32663,0.90286,0.75816,0.84599,0.60943,0.99025,0.60497,1.2181,0.000465273,0.000465273,0.000465273
137,50808,0.97273,0.8688,1.32228,0.90103,0.75922,0.84584,0.60959,0.98993,0.60472,1.21788,0.000461166,0.000461166,0.000461166
138,51178.3,0.9685,0.85848,1.31397,0.9018,0.75812,0.84654,0.61016,0.98912,0.6039,1.21737,0.000457052,0.000457052,0.000457052
139,51548.7,0.9839,0.86147,1.32103,0.90161,0.75999,0.84671,0.61043,0.98878,0.60342,1.21699,0.000452932,0.000452932,0.000452932
140,51919.3,0.97405,0.8492,1.32065,0.90185,0.75921,0.84713,0.61112,0.98813,0.60336,1.21642,0.000448807,0.000448807,0.000448807
141,52290.1,0.97154,0.85177,1.31696,0.90139,0.75919,0.84692,0.61118,0.98745,0.60278,1.216,0.000444677,0.000444677,0.000444677
142,52660.8,0.96434,0.83609,1.30979,0.90125,0.75937,0.84703,0.61045,0.98719,0.60222,1.21577,0.000440542,0.000440542,0.000440542
143,53031.5,0.96387,0.84105,1.31183,0.90042,0.75943,0.84752,0.61078,0.98673,0.60168,1.21536,0.000436403,0.000436403,0.000436403
144,53401.6,0.9621,0.82743,1.29835,0.90015,0.75912,0.84785,0.61109,0.98661,0.60132,1.21525,0.000432261,0.000432261,0.000432261
145,53772,0.95966,0.85126,1.30846,0.90023,0.75879,0.84804,0.61081,0.98634,0.601,1.21493,0.000428115,0.000428115,0.000428115
146,54142.3,0.95841,0.83812,1.31477,0.89939,0.75868,0.84835,0.61171,0.98579,0.60089,1.21445,0.000423967,0.000423967,0.000423967
147,54512.9,0.95841,0.82885,1.30553,0.89916,0.75879,0.84846,0.6119,0.98549,0.60041,1.21417,0.000419816,0.000419816,0.000419816
148,54883.5,0.95645,0.82529,1.30371,0.89873,0.75911,0.84857,0.61207,0.9851,0.60006,1.21376,0.000415664,0.000415664,0.000415664
149,55253.9,0.96345,0.83701,1.31043,0.89868,0.7589,0.84885,0.61242,0.98462,0.5996,1.21313,0.00041151,0.00041151,0.00041151
150,55624.8,0.95467,0.84423,1.31167,0.89835,0.75898,0.84906,0.613,0.98375,0.59925,1.21254,0.000407355,0.000407355,0.000407355
151,55995.3,0.9507,0.81748,1.29824,0.89802,0.75908,0.8492,0.61338,0.98337,0.59895,1.21212,0.0004032,0.0004032,0.0004032
152,56366.4,0.94141,0.81125,1.2905,0.89722,0.75905,0.84919,0.6141,0.98282,0.59896,1.21161,0.000399045,0.000399045,0.000399045
153,56737.3,0.95392,0.8274,1.3034,0.89715,0.76,0.84939,0.61409,0.98215,0.59888,1.21099,0.00039489,0.00039489,0.00039489
154,57107.6,0.93965,0.81468,1.29147,0.89718,0.75998,0.84966,0.6143,0.98159,0.59854,1.21045,0.000390736,0.000390736,0.000390736
155,57478.3,0.96075,0.83731,1.30965,0.89804,0.75912,0.84983,0.61432,0.98171,0.59845,1.21023,0.000386584,0.000386584,0.000386584
156,57848.9,0.95165,0.83042,1.30052,0.8981,0.7594,0.85009,0.61406,0.98131,0.59843,1.20989,0.000382433,0.000382433,0.000382433
157,58219.7,0.95455,0.81991,1.2918,0.89611,0.76092,0.85052,0.61409,0.98109,0.59834,1.20953,0.000378285,0.000378285,0.000378285
158,58590.1,0.93939,0.81397,1.2919,0.89647,0.76101,0.85093,0.61526,0.98088,0.5981,1.20927,0.000374139,0.000374139,0.000374139
159,58960.8,0.93944,0.83034,1.30396,0.89622,0.76137,0.85117,0.61514,0.98097,0.59781,1.20911,0.000369997,0.000369997,0.000369997
160,59331.1,0.9367,0.81438,1.29375,0.89674,0.76091,0.85148,0.61511,0.98075,0.59766,1.20875,0.000365858,0.000365858,0.000365858
161,59701.4,0.93628,0.79641,1.29521,0.89862,0.76109,0.85199,0.61619,0.98044,0.59763,1.20849,0.000361723,0.000361723,0.000361723
162,60071.8,0.94863,0.81414,1.29916,0.89892,0.76073,0.85207,0.61603,0.98041,0.59762,1.20841,0.000357593,0.000357593,0.000357593
163,60442.4,0.93768,0.81746,1.29138,0.89879,0.76177,0.85235,0.61669,0.98053,0.59741,1.20828,0.000353468,0.000353468,0.000353468
164,60812.9,0.94509,0.81802,1.30149,0.89892,0.76184,0.85262,0.61684,0.98063,0.59735,1.20814,0.000349348,0.000349348,0.000349348
165,61184,0.93758,0.80086,1.29113,0.89919,0.76184,0.85266,0.61695,0.98043,0.59731,1.20777,0.000345234,0.000345234,0.000345234
166,61554.7,0.9432,0.82663,1.30342,0.89856,0.76202,0.85248,0.61674,0.9801,0.59683,1.20736,0.000341127,0.000341127,0.000341127
167,61925.2,0.93465,0.81084,1.29433,0.89806,0.76233,0.85281,0.61712,0.97985,0.59657,1.20701,0.000337026,0.000337026,0.000337026
168,62296,0.93469,0.80016,1.29332,0.89736,0.76255,0.85324,0.61718,0.9796,0.59654,1.20681,0.000332933,0.000332933,0.000332933
169,62666.7,0.94153,0.81868,1.29579,0.89621,0.76241,0.85348,0.61772,0.97953,0.59627,1.20643,0.000328847,0.000328847,0.000328847
170,63037.7,0.92379,0.78231,1.27663,0.89601,0.76234,0.85333,0.61811,0.97964,0.5963,1.20646,0.00032477,0.00032477,0.00032477
171,63408.6,0.93596,0.80454,1.29008,0.89591,0.76205,0.85362,0.61815,0.9795,0.59599,1.20616,0.000320701,0.000320701,0.000320701
172,63779.2,0.92939,0.81024,1.28423,0.8957,0.76216,0.85419,0.61873,0.97958,0.59589,1.206,0.000316641,0.000316641,0.000316641
173,64150,0.93628,0.79673,1.29432,0.89548,0.7622,0.854,0.6181,0.97939,0.59545,1.2057,0.00031259,0.00031259,0.00031259
174,64520.1,0.93021,0.80681,1.28921,0.89523,0.76231,0.85427,0.61894,0.97924,0.59539,1.20552,0.00030855,0.00030855,0.00030855
175,64890.6,0.91857,0.78399,1.28401,0.89277,0.76454,0.85462,0.61931,0.97924,0.59554,1.20527,0.00030452,0.00030452,0.00030452
176,65260.8,0.92562,0.79095,1.28249,0.89207,0.76505,0.85482,0.61946,0.97923,0.59554,1.2051,0.000300501,0.000300501,0.000300501
177,65631.7,0.92355,0.80232,1.2857,0.89112,0.76655,0.85535,0.61958,0.97947,0.59537,1.20505,0.000296493,0.000296493,0.000296493
178,66002.7,0.9182,0.78091,1.27438,0.89112,0.76573,0.85542,0.61935,0.97926,0.59508,1.20473,0.000292496,0.000292496,0.000292496
179,66372.7,0.92951,0.80099,1.28306,0.89063,0.76671,0.8557,0.62,0.97902,0.59474,1.20447,0.000288512,0.000288512,0.000288512
180,66743.2,0.91778,0.79303,1.28022,0.88849,0.76765,0.85575,0.61983,0.97938,0.59479,1.20462,0.000284541,0.000284541,0.000284541
181,67113.6,0.92153,0.77817,1.28164,0.88791,0.76902,0.85621,0.62063,0.97946,0.59472,1.20455,0.000280582,0.000280582,0.000280582
